"";"filename";"X3rd.Party.Name";"Attributes";"AttributesPublic";"AttributesStatic";"BaseTags";"Classes";"Comments.Loc";"ConsoleOutput";"CtorsMax";"CtorsMaxName";"EmptyCatches";"EmptyOrNoCatch";"F.Args";"F.Args.Name";"F.GodFnRloc";"F.Mccc";"F.Mccc.Name";"F.Mccc.1.F.RLoc";"F.Mccc.1.F.RLoc.Name";"F.Nl";"F.Nl.Name";"F.RLoc";"F.RLoc.Name";"F.RLoc10.";"F.RLoc100.";"F.RLoc20.";"F.RLoc200.";"F.RLoc50.";"FriendClasses";"Functions";"FunctionsPub";"FunctionsUncommented";"Hacks";"Includes";"IsGenerated";"Lines140.";"Loc";"Loc.Comment";"Loc.Outcommented";"Mccc";"Nl";"Nl0.";"Nl1.";"Nl1..";"Nl1.Mean";"Nl10.";"Nl10..";"Nl10.Mean";"Nl2.";"Nl2..";"Nl2.Mean";"Nl3.";"Nl3..";"Nl3.Mean";"NL4";"Nl4..";"Nl4.Mean";"Nl5.";"Nl5..";"Nl5.Mean";"NL6";"Nl6..";"Nl6.Mean";"Nl7.";"Nl7..";"Nl7.Mean";"Nl8.";"Nl8..";"Nl8.Mean";"Nl9.";"Nl9..";"Nl9.Mean";"NlMean";"RLoc";"Templates";"TestsDisabled";"Todos";"Try.Nl";"Trys";"Trys.w.o.catch";"Uncommented.Complexity";"NL4.rel";"filetype"
"1";"solr/solrj/src/java/org/apache/solr/common/PushWriter.java";"Apache licensed";2;0;0;NA;0;"0.666666666667";0;NA;"";0;0;NA;"";NA;NA;"";"";"";NA;"";NA;"";0;0;0;0;0;NA;0;0;0;0;2;NA;0;42;28;0;1;NA;0;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0";6;NA;0;0;0;0;0;0;0;"java"
"2";"solr/solrj/src/java/org/apache/solr/common/EmptyEntityResolver.java";"Apache licensed";0;0;0;NA;1;"0.416666666667";0;1;"EmptyEntityResolver, line 39";2;2;3;"trySetSAXFeature, line 58";NA;1;"";"0.0";"";1;"EntityResolver, line 41";3;"EntityResolver, line 41";0;0;0;0;0;NA;7;2;0;0;8;NA;0;96;40;0;1;1;17;4;"0.235294117647";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.235294117647";34;NA;0;0;1;2;0;0;0;"java"
"3";"solr/solrj/src/java/org/apache/solr/common/SolrInputDocument.java";"Apache licensed";2;0;0;NA;1;"0.279742765273";0;2;"SolrInputDocument, line 35";0;0;3;"setField, line 134";NA;4;"deepCopy, line 206";"1.0";"getChildDocumentCount, line 308";2;"deepCopy, line 206";10;"deepCopy, line 206";1;0;0;0;0;NA;33;33;0;0;7;NA;0;311;87;0;15;2;64;11;"0.171875";"1.09090909091";0;"0.0";"0";1;"0.015625";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.1875";128;NA;0;0;0;0;0;0;0;"java"
"4";"solr/solrj/src/java/org/apache/solr/common/Callable.java";"Apache licensed";0;0;0;NA;0;"0.809523809524";0;NA;"";0;0;NA;"";NA;NA;"";"";"";NA;"";NA;"";0;0;0;0;0;NA;0;0;0;0;0;NA;0;21;17;0;1;NA;0;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0";3;NA;0;0;0;0;0;0;0;"java"
"5";"solr/solrj/src/java/org/apache/solr/common/SolrInputField.java";"Apache licensed";3;0;0;NA;1;"0.225108225108";0;1;"SolrInputField, line 28";0;0;2;"setValue, line 47";25;9;"addValue, line 68";"1.0";"toString, line 212";3;"addValue, line 68";25;"addValue, line 68";3;0;1;0;0;NA;14;14;1;0;4;NA;0;231;52;0;20;3;81;49;"0.604938271605";"1.28571428571";0;"0.0";"0";13;"0.16049382716";"2.07692307692";1;"0.0123456790123";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.777777777778";110;NA;0;0;0;0;0;0;0;"java"
"6";"solr/solrj/src/java/org/apache/solr/common/SolrDocumentList.java";"Apache licensed";3;0;0;NA;1;"0.34328358209";0;0;"";0;0;1;"setMaxScore, line 39";NA;2;"toString, line 60";"0.25";"toString, line 60";0;"";4;"toString, line 60";0;0;0;0;0;NA;7;7;0;0;1;NA;0;67;23;0;2;0;10;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";24;NA;0;0;0;0;0;0;0;"java"
"8";"solr/solrj/src/java/org/apache/solr/common/MapSerializable.java";"Apache licensed";0;0;0;NA;0;"0.766666666667";0;NA;"";0;0;NA;"";NA;NA;"";"";"";NA;"";NA;"";0;0;0;0;0;NA;0;0;0;0;1;NA;0;30;23;0;1;NA;0;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0";4;NA;0;0;0;0;0;0;0;"java"
"9";"solr/solrj/src/java/org/apache/solr/common/StringUtils.java";"Apache licensed";0;0;0;NA;1;"0.64";0;0;"";0;0;1;"isEmpty, line 21";NA;2;"isEmpty, line 21";"1.0";"isEmpty, line 21";0;"";1;"isEmpty, line 21";0;0;0;0;0;NA;1;1;0;0;0;NA;0;25;16;0;2;0;1;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";4;NA;0;0;0;0;0;0;0;"java"
"10";"solr/solrj/src/java/org/apache/solr/common/IteratorWriter.java";"Apache licensed";2;0;0;NA;0;"0.384615384615";0;NA;"";0;0;1;"add, line 38";NA;1;"";"0.0";"";0;"";2;"add, line 38";0;0;0;0;0;NA;5;0;0;0;1;NA;0;65;25;0;1;0;10;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";21;NA;0;0;0;0;0;0;0;"java"
"11";"solr/solrj/src/java/org/apache/solr/common/EnumFieldValue.java";"Apache licensed";0;0;0;NA;1;"0.226086956522";0;1;"EnumFieldValue, line 26";0;0;2;"EnumFieldValue, line 37";NA;5;"equalStrings, line 75";"0.666666666667";"hashCode, line 31";0;"";7;"equalStrings, line 75";0;0;0;0;0;NA;9;6;0;0;1;NA;0;115;26;0;19;0;37;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";55;NA;0;0;0;0;0;0;0;"java"
